Date,AppStore,Android,Android 10,Android 9,Android 8.0,Android 7.0,Android 6.0,Android 4.4
4/29/2020,0,0,0,0,0,0,0,0
4/30/2020,0,0,0,0,0,0,0,0
5/1/2020,0,0,0,0,0,0,0,0
5/2/2020,0,0,0,0,0,0,0,0
5/3/2020,0,0,0,0,0,0,0,0
5/4/2020,0,0,0,0,0,0,0,0
5/5/2020,0,0,0,0,0,0,0,0
5/6/2020,0,0,0,0,0,0,0,0
5/7/2020,0,0,0,0,0,0,0,0
5/8/2020,0,0,0,0,0,0,0,0
5/9/2020,0,0,0,0,0,0,0,0
5/10/2020,0,0,0,0,0,0,0,0
5/11/2020,0,1,0,1,0,0,0,0
5/12/2020,0,5,1,3,0,0,1,0
5/13/2020,0,5,2,1,0,0,0,0
5/14/2020,2,9,4,3,2,0,0,0
5/15/2020,3,2,0,1,0,0,1,0
5/16/2020,0,6,1,4,1,0,0,0
5/17/2020,1,3,2,0,1,0,0,0
5/18/2020,0,3,0,2,1,0,0,0
5/19/2020,2,2,1,1,0,0,0,0
5/20/2020,4,2,0,2,0,0,0,0
5/21/2020,3,1,0,1,0,0,0,0
5/22/2020,1,1,0,1,0,0,0,0
5/23/2020,0,5,2,3,0,0,0,0
5/24/2020,2,9,4,3,2,0,0,0
5/25/2020,1,3,0,3,0,0,0,0
5/26/2020,1,2,2,0,0,0,0,0
5/27/2020,2,2,1,1,0,0,0,0
5/28/2020,12,124,56,34,11,0,10,0
5/29/2020,29,50,19,1,24,0,6,0
5/30/2020,8,21,8,0,8,0,5,0
5/31/2020,9,8,4,2,2,0,0,0
6/1/2020,4,11,3,5,0,0,1,1
6/2/2020,1,7,3,2,2,0,0,0
6/3/2020,2,8,3,4,1,0,0,0
6/4/2020,3,53,27,12,11,0,3,0
6/5/2020,5,19,12,3,0,0,0,0
6/6/2020,3,13,7,2,0,0,1,0
6/7/2020,0,45,21,10,0,1,4,0
6/8/2020,0,11,2,4,0,2,1,0
6/9/2020,1,4,3,1,0,0,0,0
6/10/2020,1,10,7,2,0,0,0,0
6/11/2020,2,12,5,6,0,0,0,0
6/12/2020,4,15,6,4,0,0,0,0
6/13/2020,4,21,13,4,0,1,2,0
6/14/2020,6,20,10,7,0,0,1,0
6/15/2020,0,14,5,4,0,1,2,0
